index,Text,Tag,sentence_id
0,em được làm fan cứng luôn rồi nè reaction quá hay quá cute coi mấy giờ này quá hợp_lí,[1. 0. 0.],0
1,đúng là bọn mắt híp lò_xo thụt bên việt_nam t cái này ra cách đây năm r và bọn t gọi là cái l,[0. 0. 1.],1
2,đậu văn cường giờ giống thằng sida hơn à,[1. 0. 0.],2
3,côn_đồ cục_súc vô_nhân tính đề nghi vn . nhà_nước vn ban thưởng .,[0. 0. 1.],3
4,từ lý_thuyết đến thực_hành là cả câu_chuyện dài,[1. 0. 0.],4
5,coronavirus is manmade,[1. 0. 0.],5
6,đố chúng m nhận ra ai,[1. 0. 0.],6
7,lúp lúp như chó .,[0. 1. 0.],7
8,,[1. 0. 0.],8
9,"thế_mà mình nói mấy thằng bắc kì , bọn đó lại bâu vô nói mình phân biệtd",[0. 0. 1.],9
10,"được anh ưi , lâu rồi không nghe phúc du rap",[1. 0. 0.],10
11,cắt cho trẻ trâu bớt thui mà,[1. 0. 0.],11
12,nghe rất vô_lí nhưng cực_kì thuyết_phục,[1. 0. 0.],12
13,"chán ghê hong có pé mới máu được , hâhha",[1. 0. 0.],13
14,sao t gửi đc bây,[1. 0. 0.],14
15,thế đấy . làm j bọn nó . bọn nó có quyền nên làm j chả được v,[1. 0. 0.],15
16,loại này cho dựa cột thôi chứ độ_thế_nào,[0. 0. 1.],16
17,thuong wa di,[1. 0. 0.],17
18,dạy bơi cho cá . bơi thì đương_nhiên nó bơi được vì nó là cá . làm_sao cho nó sống được mới là điều người_dân đang quan_tâm .,[0. 1. 0.],18
19,ủa chứ bữa xin_lỗi khóc tế om xòm mà giờ chửi nữa rồi bó_tay con này hỗn quá,[0. 0. 1.],19
20,bamtp chạy ngay ddi,[1. 0. 0.],20
21,cứ đăng cái ảnh bố_con là y_như_rằng bị đổi,[1. 0. 0.],21
22,"dàn táo năm nay làm chương_trình táo_quân vi_hành nhé mn , phát_sóng h tối tết trên vtv",[1. 0. 0.],22
23,thật chán với chế_độ quản_lý dân_sinh,[0. 0. 1.],23
24,đời vô_thường lắm.sống phải tu tâm tích đức cô oi.khẩu nghiệp quá cô ơi,[1. 0. 0.],24
25,"có ai biết làm cách nào để tìm lại được , đồng_đội , đồng_chí , hay bạn_hữu cùng đơn_vị của người trong bức ảnh không .",[1. 0. 0.],25
26,sống chậm lại các mày,[1. 0. 0.],26
27,chương_trình quảng_cáo xin đc bắt_đầu,[1. 0. 0.],27
28,nguyễn_hữu nhân đớp cả của cháu . thứ mắc dạy,[0. 0. 1.],28
29,nhậu cái đm chúng_mày lũ chó hại dân hại nước,[0. 0. 1.],29
30,thế vinh yasbaga tối_cao,[1. 0. 0.],30
31,mài có óc để suy_nghĩ ko add cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu,[0. 0. 1.],31
32,chuẩn,[1. 0. 0.],32
33,chi vang ngoc như con heo nọc nha e,[0. 0. 1.],33
34,phải thầy k ta,[1. 0. 0.],34
35,cảnh_sát chính_tả comingg nè,[1. 0. 0.],35
36,xuân đương tới nghĩa_là xuân đương qua,[1. 0. 0.],36
37,nhìn chúng_nó cmt mà đắng bạn à,[1. 0. 0.],37
38,ý_thức còn ít hơn cả số tiền trong túi t,[0. 1. 0.],38
39,em yêu anh từ thuở tóc dài,[1. 0. 0.],39
40,theo chân mấy anh hàn_quốc rồi,[1. 0. 0.],40
41,"lương tháng , củ thui ak con trai , nhưng bố vẫn ăn tạm cua hoàng_đế để sống wa ngày thôi con trai ak",[1. 0. 0.],41
42,mệt quá thầy ạ,[1. 0. 0.],42
43,gia_lộc tran quang còn j vui hơn cà_khịa,[1. 0. 0.],43
44,chị hôm_nay đẹp quá,[1. 0. 0.],44
45,xem r nè,[1. 0. 0.],45
46,việt tiến nghèo là rõ,[1. 0. 0.],46
47,xxx video,[0. 1. 0.],47
48,thầy đéo xoá kênh kêu_gọi học_trò report cho bay kênh thiệt luôn,[0. 0. 1.],48
49,anh ba láo_nháo là tú xiên giờ,[0. 0. 1.],49
50,người ta bị lường_gạt tỷ mấy còn êm_ru mà đằng này hơn trăm triệu thôi mà la um xùm_hà,[1. 0. 0.],50
51,tú thích hoa_hồng và mùa đông được quang đâm phía sau mông,[1. 0. 0.],51
52,"mẹ , sao bộ k mở cửa_hàng kinh_doanh bán bình luôn cho dân , ko lại phạt vì mua phải bình đểu",[0. 0. 1.],52
53,cuối_cùng anh đã trở_lại . em tưởng anh biến mất luôn cho em mừng thiệt là tình nội_dung mang tính giải_trí . ko có ý anti hay ghét ai,[1. 0. 0.],53
54,chi cai gi cung co nhung cai lờ la chi het kiêp nay cung k bao gio co .,[0. 0. 1.],54
55,vừa tăng lương phát biết ngay,[1. 0. 0.],55
56,ai là cảm_tình diên like,[1. 0. 0.],56
57,xin tộc_trưởng hãy cho hiếu lợn thần ra trận đảm_bảo sẽ có chiến_thắng,[1. 0. 0.],57
58,đấu_khẩu chim_lợn,[0. 1. 0.],58
59,cai miệng nói không sợ bị hậu_quả,[0. 1. 0.],59
60,năm rồi à,[1. 0. 0.],60
61,đầu thứ tóc rồi mà_còn bị trẻ trâu levi lừa .,[1. 0. 0.],61
62,nguoi mien trung nhu e chi ngoi xem cac bac chui nhau thoi,[1. 0. 0.],62
63,khắc thành nguyễn_phục cái máu lồn,[0. 0. 1.],63
64,quan va . dan nhu nhau phai ton trong phap luat . khong thuen vi mot ai,[1. 0. 0.],64
65,chúc abe vui_vẻ,[1. 0. 0.],65
66,ko vào thì lấy đâu ra vốn vay fdi cho các anh đút_túi,[1. 0. 0.],66
67,việc nhẹ lương cao mình xin nhường cho những người thất_nghiệp,[1. 0. 0.],67
68,b if j,[1. 0. 0.],68
69,chào người anh_em,[1. 0. 0.],69
70,diệp gia nghi nghiệp nó quật m chết bh,[1. 0. 0.],70
71,"duy khương bên nó ai bị hoặc nghi bị thì tự cách_ly tự điểu trị nhé , nó còn không cho xét_nghiệm cơ , chỉ khi nào bạn chết thì nó mới khám_nghiệm để kết_luận có do virus hay không , ở ngoài đường mà đeo khẩu_trang bọn anh nó còn đấm vào mặt cho chứ ở đó mà điều_trị",[1. 0. 0.],71
72,x chứ ôg a già,[1. 0. 0.],72
73,trương duy ko mvp đội mình thì là mvp của đội bạn,[1. 0. 0.],73
74,xin video với bro,[1. 0. 0.],74
75,bị gì bị lắm thế,[1. 0. 0.],75
76,du_học_sinh úc cơ ấy,[1. 0. 0.],76
77,ôi vai a quang v,[1. 0. 0.],77
78,chờ_đợi nồi bánh_chưng mới đc fan cứng nên cmt cho kh mất chứ ko biết chơi ga,[1. 0. 0.],78
79,khá khó,[1. 0. 0.],79
80,giúp e làm_đẹp với . e ko có điều_kiện . ko có khả năg nhưg thấy có người đẹp e rất thích,[1. 0. 0.],80
81,thu boo xuất_sắc . nhưng em lại làm mấy bạn kia buồn thêm,[1. 0. 0.],81
82,"hoan_nghênh ông trần dần có tư_tưởng tiến_bộ , không chống_cộng_sản_việt_nam nữa . chỉ có quên đi quá_khứ để yêu_thương . ai cũng về già lo tu_thân sám_hối là điều lựa_chọn tốt nhất . chúc ông trần dần sống lâu tuổi và luôn khoẻ_mạnh đẹp_lão .",[1. 0. 0.],82
83,mấy thằng già làm bộ_trưởng này_nọ mà đầu_óc thua cả bác nông_dân,[0. 0. 1.],83
84,võ thành_nhân huyền_thoại,[1. 0. 0.],84
85,sương_mù là tại thiên_tai,[1. 0. 0.],85
86,mình không quan_tâm cô_đơn cho lắm,[1. 0. 0.],86
87,thế e thích làm phù_thuỷ r bạn nam phải làm s đây a nhỉ,[1. 0. 0.],87
88,uầy tôi là cưng phán các ông ạ được vl a ưi,[1. 0. 0.],88
